domain,domain_label,accession,title,date,year,quarter,month,institution,affiliation,country,email
bioimages,BioImages,S-JCBD-201110076,Wnt-11 and Fz7 reduce cell adhesion in convergent extension by sequestration of PAPC and C-cadherin,2012-08-20,2012,3,8,Other Norway,Bianca Kraft | Corinna D. Berger | Veronika Wallkamm | Herbert Steinbeisser | Doris Wedlich,,NA
bioimages,BioImages,S-JCBD-201111063,Bnip3 and AIF cooperate to induce apoptosis and cavitation during epithelial morphogenesis,2012-07-02,2012,3,7,Other Norway,Yanmei Qi | Xiaoxiang Tian | Jie Liu | Yaling Han | Alan M. Graham | M. Celeste Simon | Josef M. Penninger | Peter Carmeliet | Shaohua Li,,NA
bioimages,BioImages,S-JCBD-201111113,Stoichiometry of Nck-dependent actin polymerization in living cells,2012-05-21,2012,2,5,Other Norway,Jonathon A. Ditlev | Paul J. Michalski | Greg Huber | Gonzalo M. Rivera | William A. Mohler | Leslie M. Loew | Bruce J. Mayer,,NA
bioimages,BioImages,S-JCBD-201201038,BDNF and its pro-peptide are stored in presynaptic dense core vesicles in brain neurons,2012-03-12,2012,1,3,Other Norway,Sandra Dieni | Tomoya Matsumoto | Martijn Dekkers | Stefanie Rauskolb | Mihai S. Ionescu | Ruben Deogracias | Eckart D. Gundelfinger | Masami Kojima | Sigrun Nestel | Michael Frotscher | Yves-Alain Barde,,NA
bioimages,BioImages,S-JCBD-201204010,Structural insights into WHAMM-mediated cytoskeletal coordination during membrane remodeling,2012-10-01,2012,4,10,Other Norway,Qing-Tao Shen | Peter P. Hsiue | Charles V. Sindelar | Matthew D. Welch | Kenneth G. Campellone | Hong-Wei Wang,,NA
bioimages,BioImages,S-JCBD-201206095,PtdIns4P synthesis by PI4KIIIα at the plasma membrane and its impact on plasma membrane identity,2012-12-10,2012,4,12,Other Norway,Fubito Nakatsu | Jeremy M. Baskin | Jeeyun Chung | Lukas B. Tanner | Guanghou Shui | Sang Yoon Lee | Michelle Pirruccello | Mingming Hao | Nicholas T. Ingolia | Markus R. Wenk | Pietro De Camilli,,NA
bioimages,BioImages,S-JCBD-201212094,Diet controlsDrosophilafollicle stem cell proliferation via Hedgehog sequestration and release,2013-05-20,2013,2,5,Other Norway,Tiffiney R. Hartman | Todd I. Strochlic | Yingbiao Ji | Daniel Zinshteyn | Alana M. O’Reilly,,NA
bioimages,BioImages,S-JCBD-201302049,Injury-induced BMP signaling negatively regulatesDrosophilamidgut homeostasis,2013-06-03,2013,2,6,Other Norway,Zheng Guo | Ian Driver | Benjamin Ohlstein,,NA
bioimages,BioImages,S-JCBD-201301094,Aurora B suppresses microtubule dynamics and limits central spindle size by locally activating KIF4A,2013-08-12,2013,3,8,Other Norway,Ricardo Nunes Bastos | Sapan R. Gandhi | Ryan D. Baron | Ulrike Gruneberg | Erich A. Nigg | Francis A. Barr,,NA
bioimages,BioImages,S-JCBD-201302095,In vitro reconstitution of an mRNA-transport complex reveals mechanisms of assembly and motor activation,2013-12-23,2013,4,12,Other Norway,Roland G. Heym | Dennis Zimmermann | Franziska T. Edelmann | Lars Israel | Zeynep Ökten | David R. Kovar | Dierk Niessing,,NA
bioimages,BioImages,S-JCBD-201302075,Epiblast integrity requires CLASP and Dystroglycan-mediated microtubule anchoring to the basal cortex,2013-08-12,2013,3,8,Other Norway,Yukiko Nakaya | Erike W. Sukowati | Guojun Sheng,,NA
bioimages,BioImages,S-JCBD-201306001,Patronin mediates a switch from kinesin-13–dependent poleward flux to anaphase B spindle elongation,2013-10-07,2013,4,10,Other Norway,Haifeng Wang | Ingrid Brust-Mascher | Gul Civelekoglu-Scholey | Jonathan M. Scholey,,NA
bioimages,BioImages,S-JCBD-201308028,"Live imaging of prions reveals nascent PrPScin cell-surface, raft-associated amyloid strings and webs",2014-02-03,2014,1,2,Other Norway,Alexander Rouvinski | Sharon Karniely | Maria Kounin | Sanaa Moussa | Miri D. Goldberg | Gabriela Warburg | Roman Lyakhovetsky | Dulce Papy-Garcia | Janine Kutzsche | Carsten Korth | George A. Carlson | Susan F. Godsave | Peter J. Peters | Katarina Luhr | Krister Kristensson | Albert Taraboulos,,NA
bioimages,BioImages,S-JCBD-201312072,A novel probe for phosphatidylinositol 4-phosphate reveals multiple pools beyond the Golgi,2014-04-07,2014,2,4,Other Norway,Gerald R.V. Hammond | Matthias P. Machner | Tamas Balla,,NA
bioimages,BioImages,S-JCBD-201408002,Crystal structures of IFT70/52 and IFT52/46 provide insight into intraflagellar transport B core complex assembly,2014-10-27,2014,4,10,Other Norway,Michael Taschner | Fruzsina Kotsis | Philipp Braeuer | E. Wolfgang Kuehn | Esben Lorentzen,,NA
