domain,domain_label,accession,title,date,year,quarter,month,institution,affiliation,country,email
biostudies-other,BioStudies,S-EPMC2664796,Diabetic cardiomyopathy: effects of fenofibrate and metformin in an experimental model--the Zucker diabetic rat.,2009-01-01,2009,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2921705,TMC207: the first compound of a new class of potent anti-tuberculosis drugs.,2010-06-01,2010,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2680909,Genetic dissection of MHC-associated susceptibility to Lepeophtheirus salmonis in Atlantic salmon.,2009-01-01,2009,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2701008,Changes in the Asian monsoon climate during 1700-1850 induced by preindustrial cultivation.,2009-06-01,2009,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167390,Taxon-specific probes for the cellulolytic genus Fibrobacter reveal abundant and novel equine-associated populations.,1995-04-01,1995,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2744903,Obesity prevalence in a cohort of women in early pregnancy from a neighbourhood perspective.,2009-01-01,2009,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2920888,Contrasting predictors of poor antiretroviral therapy outcomes in two South African HIV programmes: a cohort study.,2010-07-01,2010,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2956884,10-year stroke prevention after successful carotid endarterectomy for asymptomatic stenosis (ACST-1): a multicentre randomised trial.,2010-09-01,2010,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2678086,Exhaled nitric oxide in a population-based study of southern California schoolchildren.,2009-04-01,2009,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2755789,Heritable forms of hypertension.,2009-10-01,2009,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2667416,Phone and e-mail counselling are effective for weight management in an overweight working population: a randomized controlled trial.,2009-01-01,2009,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2699769,"Impact of atypical antipsychotic therapy on leptin, ghrelin, and adiponectin.",2008-03-01,2008,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2757863,Elucidating the genetic architecture of familial schizophrenia using rare copy number variant and linkage scans.,2009-09-01,2009,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2920205,Embryonic Pax7-expressing progenitors contribute multiple cell types to the postnatal olfactory epithelium.,2010-07-01,2010,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2951705,Function inferences from a molecular structural model of bacterial ParE toxin.,2010-01-01,2010,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2945010,Predictive biomarker discovery through the parallel integration of clinical trial and functional genomics datasets.,2010-08-01,2010,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2947556,Syntactic structure building in the anterior temporal lobe during natural story listening.,2012-02-01,2012,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2748121,ATP and NO dually control migration of microglia to nerve lesions.,2009-01-01,2009,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2940898,The Nordic maintenance care program: what are the indications for maintenance care in patients with low back pain? A survey of the members of the Danish Chiropractors' Association.,2010-01-01,2010,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2683361,Early disruptions of the blood-brain barrier may contribute to exacerbated neuronal damage and prolonged functional recovery following stroke in aged rats.,2008-05-01,2008,2,5,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2732864,Role for alpha-L-fucosidase in the control of Helicobacter pylori-infected gastric cancer cells.,2009-08-01,2009,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2940874,Increased levels of CRP and MCP-1 are associated with previously unknown abnormal glucose regulation in patients with acute STEMI: a cohort study.,2010-01-01,2010,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168302,The Agaricus bisporus pruA gene encodes a cytosolic delta 1-pyrroline-5-carboxylate dehydrogenase which is expressed in fruit bodies but not in gill tissue.,1997-01-01,1997,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2936887,The GRONORUN 2 study: effectiveness of a preconditioning program on preventing running related injuries in novice runners. The design of a randomized controlled trial.,2010-01-01,2010,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2678459,Induction of corticospinal regeneration by lentiviral trkB-induced Erk activation.,2009-04-01,2009,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2938847,The critical roles of platelet activation and reduced NO bioavailability in fatal pulmonary arterial hypertension in a murine hemolysis model.,2010-09-01,2010,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2732882,Droplet microfluidic technology for single-cell high-throughput screening.,2009-08-01,2009,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2965191,Sox11 is expressed in early progenitor human multipotent stromal cells and decreases with extensive expansion of the cells.,2010-11-01,2010,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2964409,Adoptive transfer of EBV-specific T cells results in sustained clinical responses in patients with locoregional nasopharyngeal carcinoma.,2010-11-01,2010,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2951976,Artificial sweeteners: a systematic review of metabolic effects in youth.,2010-08-01,2010,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2808302,Relationship between home care service use and changes in the care needs level of Japanese elderly.,2009-12-01,2009,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2947873,Selective cell death mediated by small conditional RNAs.,2010-09-01,2010,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC162783,"Product of fosC, a gene from Pseudomonas syringae, mediates fosfomycin resistance by using ATP as cosubstrate.",1995-07-01,1995,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2733819,Inhibition of myostatin does not ameliorate disease features of severe spinal muscular atrophy mice.,2009-09-01,2009,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC164681,The complete genome sequence of Mycobacterium bovis.,2003-06-01,2003,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2763852,Evaluating geographic imputation approaches for zip code level data: an application to a study of pediatric diabetes.,2009-10-01,2009,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC162545,Prevalence of erm gene classes in erythromycin-resistant Staphylococcus aureus strains isolated between 1959 and 1988.,1995-02-01,1995,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2757810,No facilitator required for membrane transport of hydrogen sulfide.,2009-09-01,2009,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2760213,The value of surgery for retroperitoneal sarcoma.,2009-01-01,2009,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2722274,Long-term survival following a single treatment of kidney tumors with multiwalled carbon nanotubes and near-infrared radiation.,2009-08-01,2009,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2947872,RGS14 is a natural suppressor of both synaptic plasticity in CA2 neurons and hippocampal-based learning and memory.,2010-09-01,2010,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2698842,External validation of a claims-based algorithm for classifying kidney-cancer surgeries.,2009-06-01,2009,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2953838,Dissolution of arterial platelet thrombi in vivo with a bifunctional platelet GPIIIa49-66 ligand which specifically targets the platelet thrombus.,2010-09-01,2010,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2678112,"Public funding of health at the district level in Indonesia after decentralization-sources, flows and contradictions.",2009-04-01,2009,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168027,Characterization of a highly repeated DNA sequence (SC1) from the arbuscular mycorrhizal fungus Scutellospora castanea and its detection in planta.,1996-07-01,1996,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2954859,Progressive multifocal leukoencephalopathy in a patient without apparent immunosuppression.,2010-09-01,2010,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC163533,Characterization of the chromosomal aminoglycoside 2'-N-acetyltransferase gene from Mycobacterium fortuitum.,1996-10-01,1996,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC164101,mefE is necessary for the erythromycin-resistant M phenotype in Streptococcus pneumoniae.,1997-10-01,1997,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC162963,Identification of chromosomal mobile element conferring high-level vancomycin resistance in Enterococcus faecium.,1995-11-01,1995,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC163232,"Characterization of IS1272, an insertion sequence-like element from Staphylococcus haemolyticus.",1996-04-01,1996,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC162827,"Cloning and characterization of a 3-N-aminoglycoside acetyltransferase gene, aac(3)-Ib, from Pseudomonas aeruginosa.",1995-08-01,1995,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC163053,Generation and characterization of variants of NWS/G70C influenza virus after in vitro passage in 4-amino-Neu5Ac2en and 4-guanidino-Neu5Ac2en.,1996-01-01,1996,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2951849,Unique contributions of distinct cholinergic projections to motor cortical plasticity and learning.,2010-11-01,2010,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2822401,"Distinct muscarinic acetylcholine receptor subtypes contribute to stability and growth, but not compensatory plasticity, of neuromuscular synapses.",2009-11-01,2009,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2761191,Review of pramlintide as adjunctive therapy in treatment of type 1 and type 2 diabetes.,2009-02-01,2009,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2964008,The Role of Allogeneic Stem Cell Transplantation in Relapsed/Refractory Hodgkin's Lymphoma Patients.,2011-01-01,2011,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2764163,Comparative efficacy and safety of vancomycin versus teicoplanin: systematic review and meta-analysis.,2009-10-01,2009,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2738598,Parental age and risk of childhood cancer: a pooled analysis.,2009-07-01,2009,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168485,"Molecular characterization of an inducible p-coumaric acid decarboxylase from Lactobacillus plantarum: gene cloning, transcriptional analysis, overexpression in Escherichia coli, purification, and characterization.",1997-05-01,1997,2,5,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2729679,Efficacy and safety of nebivolol in elderly heart failure patients with impaired renal function: insights from the SENIORS trial.,2009-09-01,2009,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168236,Molecular diversity of soil and marine 16S rRNA gene sequences related to beta-subgroup ammonia-oxidizing bacteria.,1996-11-01,1996,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC173642,Structure and regulation of the HSP90 gene from the pathogenic fungus Candida albicans.,1995-11-01,1995,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168649,Molecular cloning and analysis of the gene encoding the thermostable penicillin G acylase from Alcaligenes faecalis.,1997-09-01,1997,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168815,A chloride-inducible gene expression cassette and its use in induced lysis of Lactococcus lactis.,1997-12-01,1997,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC175396,Pathogenicity island sequences of pyelonephritogenic Escherichia coli CFT073 are associated with virulent uropathogenic strains.,1997-07-01,1997,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168794,Identification and molecular genetic analysis of multiple loci contributing to high-level tellurite resistance in Rhodobacter sphaeroides 2.4.1.,1997-12-01,1997,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2700279,Functions of the Clostridium acetobutylicium FabF and FabZ proteins in unsaturated fatty acid biosynthesis.,2009-06-01,2009,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167814,Phylogenetic diversity of the intestinal bacterial community in the termite Reticulitermes speratus.,1996-02-01,1996,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC175512,Comparison of the sequences and functions of Streptococcus equi M-like proteins SeM and SzPSe.,1997-09-01,1997,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2735077,"Nitrite confers protection against myocardial infarction: role of xanthine oxidoreductase, NADPH oxidase and K(ATP) channels.",2007-10-01,2007,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167259,Sequence variability in homologs of the aflatoxin pathway gene aflR distinguishes species in Aspergillus section Flavi.,1995-01-01,1995,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2803859,In silico evaluation of predicted regulatory interactions in Arabidopsis thaliana.,2009-12-01,2009,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167977,"Cloning and targeted disruption of enpg-1, encoding the major in vitro extracellular endopolygalacturonase of the chestnut blight fungus, Cryphonectria parasitica.",1996-06-01,1996,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168656,A histidine protein kinase homolog from the endosymbiont of the hydrothermal vent tubeworm Riftia pachyptila.,1997-09-01,1997,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167653,Molecular characterization of genes involved in the production of the bacteriocin leucocin A from Leuconostoc gelidum.,1995-10-01,1995,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168420,Identification and quantification of Bifidobacterium species isolated from food with genus-specific 16S rRNA-targeted probes by colony hybridization and PCR.,1997-04-01,1997,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168184,"Virulence determinants invA and spvC in salmonellae isolated from poultry products, wastewater, and human sources.",1996-10-01,1996,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167505,A serine (threonine) protein kinase confers fungicide resistance in the phytopathogenic fungus Ustilago maydis.,1995-06-01,1995,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168594,A mutation in the 14 alpha-demethylase gene of Uncinula necator that correlates with resistance to a sterol biosynthesis inhibitor.,1997-08-01,1997,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168750,Synechococcus diversity in the California current as seen by RNA polymerase (rpoC1) gene sequences of isolated strains.,1997-11-01,1997,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174044,scbA from Streptococcus crista CC5A: an atypical member of the lraI gene family.,1996-06-01,1996,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168244,"Purification and characterization of enterocin 4, a bacteriocin produced by Enterococcus faecalis INIA 4.",1996-11-01,1996,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2853458,Calpain-10 is a component of the obesity-related quantitative trait locus Adip1.,2010-05-01,2010,2,5,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC178523,Genetic and chemical characterization of a mutant that disrupts synthesis of the lipopolysaccharide core tetrasaccharide in Rhizobium leguminosarum.,1996-11-01,1996,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168359,The ldh phylogeny for environmental isolates of Lactococcus lactis is consistent with rRNA genotypes but not with phenotypes.,1997-02-01,1997,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167923,Characterization and sequence analysis of a stable cryptic plasmid from Enterococcus faecium 226 and development of a stable cloning vector.,1996-04-01,1996,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC170290,Immunological characterization of a recombinant 27-kilodalton antigenic protein from Paracoccidioides brasiliensis.,1996-03-01,1996,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2717882,Vascular endothelial growth factor receptor 2 (VEGFR-2) functions to promote uterine decidual angiogenesis during early pregnancy in the mouse.,2009-08-01,2009,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC175352,Analysis of the Legionella pneumophila fliI gene: intracellular growth of a defined mutant defective for flagellum biosynthesis.,1997-06-01,1997,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167775,A Bacillus thuringiensis insecticidal crystal protein with a high activity against members of the family Noctuidae.,1996-01-01,1996,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167572,"A xylan hydrolase gene cluster in Prevotella ruminicola B(1)4: sequence relationships, synergistic interactions, and oxygen sensitivity of a novel enzyme with exoxylanase and beta-(1,4)-xylosidase activities.",1995-08-01,1995,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168275,Genetic organization of the mle locus and identification of a mleR-like gene from Leuconostoc oenos.,1996-12-01,1996,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC163758,Analysis of the oxyR-ahpC region in isoniazid-resistant and -susceptible Mycobacterium tuberculosis complex organisms recovered from diseased humans and animals in diverse localities.,1997-03-01,1997,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168397,Phylogeny of mercury resistance (mer) operons of gram-negative bacteria isolated from the fecal flora of primates.,1997-03-01,1997,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC170500,Lack of association of Borna disease virus and human T-cell leukemia virus type 1 infections with psychiatric disorders among Japanese patients.,1997-03-01,1997,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2726885,The effect of patient race and blood pressure control on patient-physician communication.,2009-09-01,2009,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168069,Cross-resistance of the diamondback moth indicates altered interactions with domain II of Bacillus thuringiensis toxins.,1996-08-01,1996,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC163670,New tetracycline resistance determinants coding for ribosomal protection in streptococci and nucleotide sequence of tet(T) isolated from Streptococcus pyogenes A498.,1997-01-01,1997,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168189,"Characterization of Desulfitobacterium chlororespirans sp. nov., which grows by coupling the oxidation of lactate to the reductive dechlorination of 3-chloro-4-hydroxybenzoate.",1996-10-01,1996,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174109,"Identification of isp, a locus encoding an immunogenic secreted protein conserved among group A streptococci.",1996-07-01,1996,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC177686,Two distinct loci affecting conversion to mucoidy in Pseudomonas aeruginosa in cystic fibrosis encode homologs of the serine protease HtrA.,1996-01-01,1996,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168098,"AbiG, a genotypically novel abortive infection mechanism encoded by plasmid pCI750 of Lactococcus lactis subsp. cremoris UC653.",1996-09-01,1996,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC167386,Sequence of a cloned pR72H fragment and its use for detection of Vibrio parahaemolyticus in shellfish with the PCR.,1995-04-01,1995,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2765448,A multidisciplinary systematic literature review on frailty: overview of the methodology used by the Canadian Initiative on Frailty and Aging.,2009-10-01,2009,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168075,"Characterization of the chemical and antimicrobial properties of piscicolin 126, a bacteriocin produced by Carnobacterium piscicola JG126.",1996-08-01,1996,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC176717,Characterization of the protein conferring immunity to the antimicrobial peptide carnobacteriocin B2 and expression of carnobacteriocins B2 and BM1.,1995-03-01,1995,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168497,Identification of Salmonella abortusovis by PCR amplification of a serovar-specific IS200 element.,1997-05-01,1997,2,5,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2825226,An investigation of somatosensory profiles in work related upper limb disorders: a case-control observational study protocol.,2010-01-01,2010,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC173561,Molecular and biochemical characterization of a Coccidioides immitis-specific antigen.,1995-10-01,1995,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC175151,Conservation of the 15-kilodalton lipoprotein among Treponema pallidum subspecies and strains and other pathogenic treponemes: genetic and antigenic analyses.,1997-04-01,1997,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2835258,Cell-intrinsic and vector-related properties cooperate to determine the incidence and consequences of insertional mutagenesis.,2009-09-01,2009,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC175717,Identification and characterization of a two-component regulatory system involved in invasion of eukaryotic cells and heavy-metal resistance in Burkholderia pseudomallei.,1997-12-01,1997,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC178085,Elements of signal transduction in Mycobacterium tuberculosis: in vitro phosphorylation and in vivo expression of the response regulator MtrA.,1996-06-01,1996,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC177315,Lateral transfer of rfb genes: a mobilizable ColE1-type plasmid carries the rfbO:54 (O:54 antigen biosynthesis) gene cluster from Salmonella enterica serovar Borreze.,1995-09-01,1995,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC164091,"OXA-18, a class D clavulanic acid-inhibited extended-spectrum beta-lactamase from Pseudomonas aeruginosa.",1997-10-01,1997,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC176839,Analysis of a novel gene and beta-galactosidase isozyme from a psychrotrophic Arthrobacter isolate.,1995-04-01,1995,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174516,"Sequence heterogeneity of PsaA, a 37-kilodalton putative adhesin essential for virulence of Streptococcus pneumoniae.",1996-12-01,1996,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC176760,"The end of the cob operon: evidence that the last gene (cobT) catalyzes synthesis of the lower ligand of vitamin B12, dimethylbenzimidazole.",1995-03-01,1995,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2848181,Antigenic modulation and rituximab resistance.,2010-04-01,2010,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168175,Specific detection and analysis of a probiotic Bifidobacterium strain in infant feces.,1996-10-01,1996,4,10,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174226,Evidence for presence in the cell wall of Candida albicans of a protein related to the hsp70 family.,1996-08-01,1996,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168416,Identification of a recA homolog (recALP) on the conjugative lactococcal phage resistance plasmid pNP40: evidence of a role for chromosomally encoded recAL in abortive infection.,1997-04-01,1997,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168793,The ammonia monooxygenase structural gene amoA as a functional marker: molecular fine-scale analysis of natural ammonia-oxidizing populations.,1997-12-01,1997,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174494,Characterization of the fim2 and fim3 fimbrial subunit genes of Bordetella bronchiseptica: roles of Fim2 and Fim3 fimbriae and flagella in adhesion.,1996-12-01,1996,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC175534,Molecular characterization of murine humoral immune response to botulinum neurotoxin type A binding domain as assessed by using phage antibody libraries.,1997-09-01,1997,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168340,Assessment of genetic diversity among strains of Pseudomonas syringae by PCR-restriction fragment length polymorphism analysis of rRNA operons with special emphasis on P. syringae pv. tomato.,1997-02-01,1997,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174300,"NYVAC-Pf7: a poxvirus-vectored, multiantigen, multistage vaccine candidate for Plasmodium falciparum malaria.",1996-09-01,1996,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC176719,Cin-mediated recombination at secondary crossover sites on the Escherichia coli chromosome.,1995-03-01,1995,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168421,Phenotypic and genetic characterization of the bacteriophage abortive infection mechanism AbiK from Lactococcus lactis.,1997-04-01,1997,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174567,An iron- and fur-repressed Legionella pneumophila gene that promotes intracellular infection and encodes a protein with similarity to the Escherichia coli aerobactin synthetases.,1997-01-01,1997,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC175653,"Cloning, sequencing, and expression of the mig gene of Mycobacterium avium, which codes for a secreted macrophage-induced protein.",1997-11-01,1997,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2763858,Identification of glucocorticoid-induced leucine zipper as a key regulator of tumor cell proliferation in epithelial ovarian cancer.,2009-01-01,2009,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168563,Molecular microbial diversity in soils from eastern Amazonia: evidence for unusual microorganisms and microbial population shifts associated with deforestation.,1997-07-01,1997,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC177715,"Sequencing, distribution, and inactivation of the dipeptidase A gene (pepDA) from Lactobacillus helveticus CNRZ32.",1996-02-01,1996,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC177172,Conformational analysis of the Campylobacter jejuni porin.,1995-08-01,1995,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC170152,Emergence of a new virulent clone within the electrophoretic type 5 complex of serogroup B meningococci in Norway.,1995-05-01,1995,2,5,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2742834,"Keratinocyte-derived chemokine in obesity: expression, regulation, and role in adipose macrophage infiltration and glucose homeostasis.",2009-07-01,2009,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168136,Detection of a single viable Cryptosporidium parvum oocyst in environmental water concentrates by reverse transcription-PCR.,1996-09-01,1996,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC170250,A sensitive and specific PCR method to detect Helicobacter felis in a conventional mouse model.,1996-01-01,1996,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174431,Candida albicans binding to the oral bacterium Streptococcus gordonii involves multiple adhesin-receptor interactions.,1996-11-01,1996,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC177189,Biochemical and molecular characterization of the oxidative branch of glycerol utilization by Citrobacter freundii.,1995-08-01,1995,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC173209,"Identification of rfbA, involved in B-band lipopolysaccharide biosynthesis in Pseudomonas aeruginosa serotype O5.",1995-05-01,1995,2,5,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168812,Detection of stable pre-rRNA in toxigenic Pseudo-nitzschia species.,1997-12-01,1997,4,12,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC174101,The psa locus is responsible for thermoinducible binding of Yersinia pseudotuberculosis to cultured cells.,1996-07-01,1996,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC168048,"Lip-like genes in Phanerochaete sordida and Ceriporiopsis subvermispora, white rot fungi with no detectable lignin peroxidase activity.",1996-07-01,1996,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC176901,Analysis of a 24-kilodalton protein associated with the polyhydroxyalkanoic acid granules in Alcaligenes eutrophus.,1995-05-01,1995,2,5,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC176595,"Cloning, nucleotide sequence, and mutagenesis of the Bacillus subtilis ponA operon, which codes for penicillin-binding protein (PBP) 1 and a PBP-related factor.",1995-01-01,1995,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC176590,Identification and characterization of two nitrogen-regulated genes of the cyanobacterium Synechococcus sp. strain PCC7942 required for maximum efficiency of nitrogen assimilation.,1995-01-01,1995,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC177489,Cloning and characterization of a gene involved in aerial mycelium formation in Streptomyces griseus.,1995-11-01,1995,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC177501,Identification and functional analysis of the transfer region of plasmid pMEA300 of the methylotrophic actinomycete Amycolatopsis methanolica.,1995-11-01,1995,4,11,Other Norway,,,NA
